id,location,fault_severity,event_type_1,event_type_2,event_type_3,event_type_4,event_type_5
65,location 9,0,3,0,1,3,1
66,location 26,0,4,0,2,0,4
67,location 21,1,3,4,4,3,0
68,location 2,0,2,1,3,0,4
69,location 20,0,4,3,2,3,3
70,location 28,1,1,3,2,1,0
71,location 15,1,2,0,3,1,3
72,location 28,0,3,3,4,4,0
73,location 7,0,4,0,0,3,4
74,location 12,0,1,4,3,2,1
75,location 29,0,2,1,3,4,2
76,location 8,0,1,4,3,1,1
77,location 15,0,3,2,2,3,4
78,location 3,0,1,2,1,4,0
79,location 14,0,0,2,0,3,1
80,location 17,0,2,4,4,1,4
81,location 4,0,1,3,4,4,3
82,location 18,0,3,1,1,1,2
83,location 8,0,3,2,3,0,1
84,location 4,0,1,2,0,1,0
85,location 2,1,3,2,4,3,3
86,location 6,0,4,1,4,2,4
87,location 22,0,4,2,3,1,2
88,location 10,1,4,1,1,2,0
89,location 4,0,0,2,0,0,4
90,location 22,0,1,4,1,4,4
91,location 29,0,0,4,1,4,1
92,location 18,0,3,1,0,2,1
93,location 26,1,0,4,0,4,0
94,location 12,0,3,1,4,1,4
95,location 2,0,3,4,4,2,1
96,location 10,0,2,4,0,3,2
97,location 4,0,4,1,2,1,2
98,location 14,0,3,3,4,1,4
99,location 16,0,2,4,2,1,1
100,location 15,0,4,2,0,3,0
101,location 8,2,3,3,4,0,0
102,location 14,0,3,1,1,4,0
103,location 23,0,0,3,0,2,2
104,location 28,0,0,0,3,0,1
105,location 25,0,4,0,2,2,1
106,location 8,0,3,4,0,4,2
107,location 21,0,1,4,0,3,0
108,location 16,0,0,2,4,1,0
109,location 13,0,4,3,4,1,4
110,location 18,0,3,0,4,3,3
111,location 15,1,3,4,3,0,1
112,location 21,0,1,3,4,0,1
113,location 24,0,4,4,0,2,1
114,location 26,0,3,4,4,3,3
115,location 25,2,0,0,1,0,4
116,location 28,0,1,0,4,3,3
117,location 28,0,4,4,3,4,0
118,location 28,2,1,1,1,1,0
119,location 13,1,0,4,0,1,1
120,location 9,1,4,4,0,1,2
121,location 29,0,1,2,2,3,1
122,location 15,0,2,2,1,3,2
123,location 13,0,0,2,2,2,3
124,location 1,2,0,1,1,1,0
125,location 25,0,0,1,1,2,2
126,location 7,0,2,4,3,1,3
127,location 9,0,2,2,2,2,0
128,location 24,1,3,1,3,2,2
129,location 1,0,1,0,1,4,1
130,location 12,0,3,4,0,2,1
131,location 8,0,1,3,1,3,1
132,location 24,0,2,4,3,2,3
133,location 11,0,2,3,2,1,1
134,location 19,0,3,2,2,2,4
135,location 17,0,4,3,3,0,0
136,location 8,0,3,2,2,1,3
137,location 3,0,1,0,4,0,1
138,location 3,0,3,3,0,1,0
139,location 1,0,0,4,0,3,2
140,location 27,0,1,2,0,3,1
141,location 5,0,1,4,2,3,0
142,location 10,0,4,1,2,0,4
143,location 7,0,2,2,1,4,2
144,location 26,0,1,3,1,1,4
145,location 9,2,2,2,0,3,0
146,location 28,0,3,4,4,1,4
147,location 7,1,0,0,1,0,0
148,location 9,0,4,2,1,4,0
149,location 8,0,2,3,2,0,4
150,location 12,1,1,1,4,1,0
151,location 2,0,2,0,0,4,1
152,location 1,0,1,1,1,4,0
153,location 16,0,2,2,4,0,3
154,location 23,0,1,4,4,3,0
155,location 23,2,3,4,0,1,3
156,location 24,1,1,3,4,2,0
157,location 5,2,1,4,4,2,0
158,location 3,0,0,0,4,0,4
159,location 12,1,1,4,1,1,1
160,location 8,2,0,3,0,1,1
161,location 22,0,4,2,4,0,2
162,location 27,0,0,2,4,1,4
163,location 3,1,3,4,1,3,4
164,location 1,0,0,1,0,0,1
165,location 3,1,4,2,2,3,4
166,location 5,0,3,4,1,1,1
167,location 15,1,2,3,0,0,4
168,location 14,0,2,4,4,1,0
169,location 3,0,0,2,0,0,1
170,location 1,0,0,3,0,1,1
171,location 5,1,4,4,0,3,3
172,location 26,0,4,0,2,3,4
173,location 23,0,1,3,0,1,4
174,location 14,0,4,0,2,0,1
175,location 7,1,1,1,4,2,0
176,location 27,0,3,3,2,3,0
177,location 9,1,0,0,4,3,0
178,location 15,0,3,2,4,2,4
179,location 15,0,4,2,2,1,3
180,location 26,0,3,1,1,0,1
181,location 10,0,3,3,3,1,2
182,location 28,1,3,3,0,4,3
183,location 13,0,4,3,3,3,2
184,location 19,0,3,1,0,4,3
185,location 7,1,1,3,0,3,0
186,location 17,0,4,2,4,3,4
187,location 20,0,3,0,0,4,2
188,location 29,2,4,2,0,4,3
189,location 4,0,2,2,2,1,4
190,location 5,0,1,0,3,4,2
191,location 23,2,3,2,2,1,1
192,location 7,0,2,1,0,1,3
193,location 13,0,2,0,4,1,1
194,location 15,0,4,2,2,3,0
195,location 11,1,2,4,2,3,1
196,location 29,0,1,2,1,4,1
197,location 4,0,1,1,0,3,3
198,location 13,1,0,3,4,4,0
199,location 7,1,1,2,2,3,1
200,location 27,0,2,3,2,0,4
201,location 19,0,1,4,4,0,2
202,location 22,0,4,2,0,4,1
203,location 28,1,0,0,1,3,0
204,location 2,0,2,3,2,3,1
205,location 10,0,0,4,1,1,2
206,location 13,1,2,0,3,2,0
207,location 25,1,4,0,0,4,3
208,location 21,0,0,0,3,2,0
209,location 6,1,3,0,3,2,3
210,location 28,0,2,2,3,4,0
211,location 28,1,3,2,0,3,2
212,location 12,0,0,2,0,4,2
213,location 12,0,3,4,4,2,0
214,location 20,1,3,4,1,3,1
215,location 11,0,0,4,1,0,2
216,location 26,0,4,1,4,4,3
217,location 23,1,3,4,4,4,3
218,location 28,1,3,2,3,3,4
219,location 25,0,4,2,4,0,3
220,location 7,0,3,1,2,0,4
221,location 1,0,3,1,1,3,0
222,location 1,0,3,4,4,1,0
223,location 25,0,1,3,2,4,0
224,location 27,0,4,1,2,4,1
225,location 25,2,3,0,2,2,1
226,location 20,0,4,2,2,3,4
227,location 13,0,2,0,3,2,3
228,location 9,0,2,2,2,2,3
229,location 3,2,3,2,3,0,0
230,location 7,0,4,1,3,4,2
231,location 6,0,4,1,2,2,1
232,location 8,0,4,0,1,0,1
233,location 27,0,1,2,2,3,0
234,location 9,0,2,0,2,2,1
235,location 5,1,4,3,2,4,0
236,location 1,2,4,0,1,2,4
237,location 19,0,1,4,0,3,3
238,location 10,0,1,0,0,2,2
239,location 12,2,4,4,3,4,3
240,location 24,1,0,4,3,0,3
241,location 15,0,4,4,1,4,4
242,location 27,0,4,3,4,0,1
243,location 22,0,1,0,0,1,2
244,location 24,0,1,0,3,4,1
245,location 9,1,4,3,0,4,3
246,location 20,2,4,2,1,3,0
247,location 17,2,4,1,1,2,3
248,location 17,0,1,0,4,0,1
249,location 26,0,4,1,4,0,3
250,location 20,2,4,3,1,3,0
251,location 12,1,3,2,3,3,4
252,location 7,0,0,2,0,2,1
253,location 2,2,2,2,2,2,3
254,location 3,1,0,3,4,4,1
255,location 17,0,3,4,2,1,4
256,location 5,0,2,4,3,2,3
257,location 17,0,4,1,4,3,3
258,location 24,0,3,4,2,2,1
259,location 17,0,4,4,3,0,1
260,location 27,1,1,2,0,1,0
261,location 17,0,3,2,3,4,4
262,location 2,0,1,1,4,0,0
263,location 2,0,3,0,1,0,3
264,location 28,0,3,1,0,1,1
265,location 22,2,1,1,2,4,3
266,location 23,0,2,3,4,3,3
267,location 5,0,0,3,1,4,2
268,location 1,1,4,1,3,2,2
269,location 1,0,3,1,1,0,3
270,location 19,0,4,1,4,2,1
271,location 2,0,1,4,4,3,3
272,location 21,0,4,3,1,2,2
273,location 12,0,1,1,3,4,1
274,location 26,0,4,2,1,2,3
275,location 6,0,0,2,4,3,4
276,location 23,2,0,4,4,3,4
277,location 4,0,0,4,2,3,3
278,location 23,0,0,0,2,4,1
279,location 11,0,0,0,0,3,3
280,location 24,0,0,0,4,0,3
281,location 27,0,1,4,2,3,2
282,location 17,0,3,4,1,2,4
283,location 6,2,4,4,3,2,2
284,location 24,0,0,2,1,2,2
285,location 5,0,1,4,3,4,3
286,location 20,0,1,2,2,2,2
287,location 2,2,1,0,0,4,4
288,location 6,0,3,0,1,4,2
289,location 22,0,4,0,1,3,4
290,location 11,0,3,1,1,0,2
291,location 16,1,2,1,3,3,4
292,location 16,0,1,3,2,3,2
293,location 1,1,2,3,1,4,2
294,location 9,0,0,3,1,4,1
295,location 28,0,0,1,0,2,4
296,location 27,0,3,1,0,2,4
297,location 6,0,4,3,2,3,4
298,location 16,0,2,3,2,1,0
299,location 29,0,4,4,4,1,2
300,location 3,1,3,3,0,2,4
301,location 20,0,0,4,4,1,0
302,location 28,0,4,2,3,2,1
303,location 27,0,4,1,4,4,4
304,location 4,0,0,3,1,3,4
305,location 19,0,2,1,4,0,0
306,location 26,0,0,1,2,3,2
307,location 3,0,4,1,3,2,1
308,location 19,1,2,2,1,2,4
309,location 20,2,2,0,4,3,2
310,location 7,0,0,3,3,2,1
311,location 20,0,4,0,3,1,3
312,location 9,0,3,0,1,1,3
313,location 1,0,4,0,4,2,1
314,location 8,0,1,1,3,2,0
315,location 7,0,3,4,3,1,1
316,location 18,1,2,1,0,2,1
317,location 8,0,3,1,3,2,0
318,location 1,0,2,0,0,3,0
319,location 11,0,2,1,4,0,2
320,location 28,0,3,0,4,1,2
321,location 25,0,2,4,4,3,0
322,location 25,0,2,3,2,0,3
323,location 18,0,1,0,4,2,3
324,location 23,1,4,4,3,2,1
325,location 10,0,4,3,1,3,4
326,location 3,0,1,2,0,2,1
327,location 7,0,3,0,2,4,1
328,location 28,0,0,0,4,3,4
329,location 16,0,0,2,4,0,0
330,location 26,1,0,2,1,3,3
331,location 16,1,1,0,1,1,1
332,location 25,1,1,2,2,3,4
333,location 20,0,2,1,0,2,2
334,location 28,0,0,3,4,2,1
335,location 17,0,3,3,2,4,3
336,location 2,0,3,3,3,4,0
337,location 1,1,0,1,3,4,1
338,location 16,0,0,2,2,0,1
339,location 12,0,0,4,4,4,4
340,location 5,0,1,2,2,0,2
341,location 5,0,1,0,4,4,2
342,location 27,0,1,3,1,0,0
343,location 23,0,4,2,2,3,3
344,location 9,0,3,4,4,3,0
345,location 9,1,3,0,2,2,1
346,location 3,1,2,1,2,0,1
347,location 19,0,1,1,4,1,2
348,location 16,0,4,4,4,2,3
349,location 16,0,4,0,0,3,4
350,location 3,0,3,3,2,0,3
351,location 20,0,1,2,3,4,1
352,location 24,0,2,0,2,1,4
353,location 22,0,1,1,2,3,3
354,location 24,0,0,4,4,2,3
355,location 1,0,1,4,2,0,4
356,location 24,0,0,2,2,1,1
357,location 20,2,0,4,3,0,3
358,location 11,1,2,4,4,4,4
359,location 17,0,3,0,2,2,1
360,location 8,1,1,3,1,0,4
361,location 4,0,0,2,0,3,4
362,location 6,1,1,0,3,2,3
363,location 8,1,3,3,2,3,1
364,location 20,0,3,0,1,0,3
365,location 3,0,4,0,2,2,0
366,location 16,0,3,4,2,3,0
367,location 25,0,2,3,4,4,1
368,location 3,0,0,2,4,4,4
369,location 25,0,4,2,4,0,3
370,location 29,0,2,3,1,2,3
371,location 18,1,1,4,2,1,1
372,location 14,2,0,1,0,2,1
373,location 18,0,3,0,3,4,0
374,location 2,0,0,4,4,3,2
375,location 22,0,1,3,4,1,1
376,location 3,0,4,0,2,0,2
377,location 16,2,4,2,2,1,1
378,location 29,0,4,1,1,0,4
379,location 9,0,3,2,1,1,4
380,location 4,0,2,3,4,0,0
381,location 1,0,2,0,2,0,0
382,location 4,0,0,3,0,1,2
383,location 1,1,3,0,3,1,1
384,location 14,0,4,4,2,0,3
385,location 21,0,4,1,2,4,0
386,location 16,0,1,4,1,1,3
387,location 20,2,1,4,3,2,3
388,location 24,1,4,3,4,3,1
389,location 8,0,4,1,2,0,2
390,location 7,0,3,0,4,0,1
391,location 3,0,2,0,2,3,0
392,location 17,0,1,2,4,4,3
393,location 1,2,2,0,3,3,1
394,location 16,0,3,3,1,1,1
395,location 12,0,4,4,3,3,1
396,location 27,0,2,4,0,0,0
397,location 19,0,4,4,1,3,2
398,location 22,0,4,1,3,2,1
399,location 23,1,0,0,0,1,0
400,location 22,0,2,3,2,3,3
401,location 14,0,2,1,2,0,4
402,location 6,0,4,2,4,1,0
403,location 6,0,3,3,1,0,4
404,location 13,0,0,3,2,4,1
405,location 19,0,4,3,1,2,1
406,location 22,1,1,4,2,4,0
407,location 8,0,1,3,4,2,4
408,location 27,0,0,0,3,3,1
409,location 27,0,3,3,4,1,3
410,location 2,0,4,4,0,3,2
411,location 21,2,2,3,2,2,2
412,location 1,1,0,2,0,2,1
413,location 28,0,3,2,0,2,4
414,location 15,0,2,4,1,0,1
415,location 1,0,1,0,2,1,4
416,location 5,0,1,0,0,3,3
417,location 28,0,2,1,3,3,4
418,location 29,0,0,4,0,4,1
419,location 16,0,1,3,3,2,3
420,location 19,0,4,4,1,2,0
421,location 4,1,2,1,0,2,2
422,location 3,0,2,4,4,3,1
423,location 17,0,1,4,1,4,1
424,location 17,1,0,1,3,0,1
425,location 12,0,4,0,1,1,3
426,location 28,0,0,3,0,0,0
427,location 29,0,3,1,2,3,4
428,location 14,0,3,2,2,2,0
429,location 21,1,1,0,3,1,3
430,location 6,1,1,2,3,3,1
431,location 3,0,1,0,2,3,2
432,location 28,0,3,3,3,3,1
433,location 9,0,0,3,1,1,4
434,location 5,0,0,4,4,1,2
435,location 24,0,1,2,4,4,1
436,location 29,2,4,0,1,4,2
437,location 17,0,0,3,4,0,0
438,location 14,2,3,1,0,1,3
439,location 21,0,2,3,1,1,1
440,location 3,0,2,1,3,1,4
441,location 28,0,2,0,1,4,0
442,location 1,1,4,3,2,3,1
443,location 20,1,1,3,3,2,0
444,location 29,1,3,0,2,4,4
445,location 21,0,4,3,3,1,1
446,location 23,0,3,1,4,4,4
447,location 1,1,3,3,1,0,2
448,location 3,0,1,2,0,1,4
449,location 18,0,2,4,3,0,2
450,location 25,0,1,1,3,1,1
451,location 10,2,4,2,2,4,2
452,location 22,2,4,0,4,3,1
453,location 26,0,4,1,2,2,1
454,location 3,1,1,4,2,0,3
455,location 8,2,3,4,4,4,1
456,location 14,0,3,0,0,3,2
457,location 24,0,0,0,2,4,3
458,location 18,2,4,1,2,0,3
459,location 15,0,3,3,3,2,1
460,location 22,0,0,0,4,4,4
461,location 23,0,3,3,1,1,4
462,location 2,2,4,2,0,3,3
463,location 27,2,2,4,0,4,1
464,location 10,2,4,3,4,3,4
465,location 2,0,1,4,3,1,1
466,location 26,1,3,3,3,2,1
467,location 17,1,3,2,4,2,3
468,location 8,0,1,0,3,1,3
469,location 1,1,1,2,0,3,0
470,location 9,0,2,0,0,4,4
471,location 11,0,3,0,1,1,4
472,location 22,0,3,4,4,0,4
473,location 16,0,2,2,2,3,2
474,location 7,0,0,3,2,2,1
475,location 29,0,2,2,1,1,3
476,location 10,0,4,4,1,2,4
477,location 23,1,3,0,3,3,0
478,location 26,0,1,4,1,2,4
479,location 3,0,4,1,1,1,1
480,location 18,0,3,1,2,3,1
481,location 25,1,2,3,3,0,3
482,location 24,0,4,4,1,1,2
483,location 13,0,3,3,1,4,3
484,location 28,1,0,3,3,1,4
485,location 26,0,0,1,4,3,0
486,location 7,0,1,3,3,1,3
487,location 25,0,3,1,2,0,2
488,location 4,1,0,0,4,0,3
489,location 13,0,2,4,0,4,1
490,location 20,1,3,3,3,2,4
491,location 1,0,2,1,2,3,4
492,location 8,2,2,2,4,3,4
493,location 14,1,0,3,3,2,4
494,location 16,2,3,0,1,0,4
495,location 14,0,4,0,3,0,4
496,location 12,1,0,2,0,1,0
497,location 19,0,0,1,3,4,2
498,location 23,0,3,3,4,4,4
499,location 15,0,3,1,4,4,2
500,location 28,1,2,0,3,1,4
501,location 2,2,3,1,4,4,3
502,location 2,1,2,0,1,2,4
503,location 23,0,0,1,3,1,1
504,location 22,0,1,2,1,2,0
505,location 19,1,4,4,1,1,3
506,location 25,0,0,2,2,4,3
507,location 26,0,3,2,3,2,1
508,location 29,0,4,4,4,2,4
509,location 22,0,1,4,1,2,0
510,location 26,0,1,3,2,1,3
511,location 26,0,2,3,3,3,0
512,location 22,0,4,2,3,4,3
513,location 17,0,2,2,0,2,4
514,location 20,2,0,0,0,3,3
515,location 10,0,4,0,1,4,3
516,location 6,0,0,3,0,4,2
517,location 15,0,2,3,1,2,4
518,location 22,0,4,0,4,2,1
519,location 11,2,2,0,1,1,1
520,location 28,1,4,1,0,3,4
521,location 5,0,2,1,4,3,1
522,location 1,0,1,0,0,2,4
523,location 8,1,2,1,1,4,1
524,location 21,2,1,4,2,2,2
525,location 28,0,2,3,3,4,1
526,location 12,0,4,3,0,4,3
527,location 12,0,4,0,1,2,4
528,location 5,2,4,2,4,0,0
529,location 7,0,3,0,0,3,0
530,location 4,2,0,1,0,4,4
531,location 6,0,4,2,3,4,2
532,location 13,0,1,1,1,0,1
533,location 20,0,4,4,2,1,2
534,location 15,0,3,1,4,0,0
535,location 3,0,1,4,1,0,4
536,location 23,0,3,4,4,4,4
537,location 8,0,1,1,0,3,2
538,location 20,1,2,1,3,0,2
539,location 16,0,0,4,3,1,1
540,location 13,0,0,2,2,2,3
541,location 18,2,3,4,3,0,3
542,location 28,1,0,3,0,0,1
543,location 10,2,3,4,2,1,3
544,location 19,2,3,2,1,3,0
545,location 17,0,3,3,3,0,3
546,location 24,0,0,0,2,0,1
547,location 19,1,3,0,0,3,3
548,location 28,0,0,2,4,1,4
549,location 26,0,3,4,4,0,2
550,location 23,1,4,1,0,3,0
551,location 26,0,3,2,0,0,4
552,location 5,0,1,3,4,2,4
553,location 26,0,3,3,2,4,1
554,location 21,0,2,0,4,2,2
555,location 23,0,3,3,0,0,2
556,location 9,0,1,2,3,1,0
557,location 12,1,1,3,1,4,1
558,location 21,0,0,2,3,2,0
559,location 1,0,4,1,3,3,3
560,location 26,1,3,0,0,1,4
561,location 26,2,0,3,4,2,0
562,location 1,1,4,2,2,3,4
563,location 15,1,3,4,3,0,1
564,location 2,0,2,0,4,3,3
565,location 22,0,3,1,2,2,1
566,location 16,0,1,2,3,2,3
567,location 25,0,1,1,2,0,3
568,location 8,0,2,1,4,3,4
569,location 13,0,0,3,1,3,1
570,location 21,1,4,3,4,0,1
571,location 1,0,3,2,0,3,0
572,location 16,0,1,4,2,0,1
573,location 29,0,0,2,1,1,0
574,location 7,0,2,4,2,2,2
575,location 5,0,1,1,2,1,2
576,location 22,1,2,0,3,4,2
577,location 29,0,3,2,0,4,1
578,location 23,0,4,2,2,4,1
579,location 3,0,1,4,4,0,0
580,location 12,1,1,1,4,3,3
581,location 26,0,3,1,3,1,0
582,location 16,0,0,4,0,1,2
583,location 19,0,4,1,0,1,0
584,location 5,0,1,3,4,1,3
585,location 22,1,4,0,1,4,1
586,location 25,1,1,2,3,1,0
587,location 29,0,4,0,3,3,2
588,location 14,1,2,2,4,4,2
589,location 28,1,1,3,4,1,1
590,location 5,1,4,1,1,0,0
591,location 15,1,0,4,1,2,3
592,location 17,0,2,3,0,2,1
593,location 14,0,2,0,3,2,0
594,location 20,0,0,4,3,4,4
595,location 5,1,4,1,4,1,2
596,location 12,0,3,3,0,4,3
597,location 16,1,0,4,3,3,3
598,location 26,1,4,3,0,0,3
599,location 26,0,0,3,0,0,2
600,location 16,1,0,1,4,2,0
601,location 21,0,1,2,0,2,1
602,location 7,0,4,4,1,2,0
603,location 4,1,3,1,1,1,1
604,location 1,0,1,3,2,3,3
605,location 5,1,0,1,4,3,0
606,location 23,1,0,2,2,3,3
607,location 26,0,0,4,1,3,4
608,location 10,0,4,2,2,2,3
609,location 22,0,4,0,4,0,3
610,location 5,0,1,4,4,2,1
611,location 4,2,3,2,0,3,4
612,location 2,0,1,3,3,2,3
613,location 20,0,2,4,0,3,3
614,location 10,0,0,4,4,4,4
615,location 26,0,0,1,1,0,4
616,location 19,1,0,3,1,4,0
617,location 26,0,1,0,0,1,1
618,location 1,1,1,2,4,2,4
619,location 24,0,0,1,1,1,4
620,location 5,2,1,2,4,2,2
621,location 13,0,4,0,1,4,4
622,location 4,0,4,0,4,3,1
623,location 16,2,1,4,2,3,3
624,location 24,0,0,0,4,2,3
625,location 16,2,1,2,4,3,3
626,location 23,0,1,3,0,4,3
627,location 2,0,1,3,2,3,2
628,location 17,0,2,4,3,4,4
629,location 28,1,4,2,0,1,3
630,location 27,0,3,2,3,4,0
631,location 20,0,3,0,1,0,3
632,location 24,0,2,2,3,0,4
633,location 12,0,1,1,4,0,3
634,location 18,0,2,0,3,2,2
635,location 3,1,2,1,0,2,1
636,location 28,2,0,4,0,2,1
637,location 1,2,4,3,3,4,4
638,location 1,1,3,4,0,2,1
639,location 29,0,1,3,0,1,1
640,location 19,1,3,4,3,0,0
641,location 11,0,3,2,2,4,4
642,location 5,0,4,1,2,0,4
643,location 12,0,3,3,1,2,1
644,location 3,0,3,0,0,4,1
645,location 1,1,2,1,3,3,1
646,location 1,0,4,0,0,1,2
647,location 8,0,0,1,4,2,3
648,location 10,0,1,1,0,2,2
649,location 11,2,3,4,0,1,4
650,location 12,0,1,3,2,1,0
651,location 29,0,0,3,3,3,3
652,location 13,0,1,1,0,2,0
653,location 12,1,0,2,2,2,4
654,location 14,0,2,2,1,0,4
655,location 2,0,3,0,2,4,0
656,location 29,0,0,0,2,4,0
657,location 19,0,1,4,2,0,0
658,location 18,0,3,1,0,4,4
659,location 3,0,2,0,0,1,1
660,location 23,2,3,0,1,4,0
661,location 17,0,0,1,4,4,3
662,location 26,0,2,4,4,0,4
663,location 8,2,1,0,4,3,2
664,location 29,0,2,4,1,4,2
665,location 26,0,2,3,4,4,3
666,location 10,0,4,4,4,3,1
667,location 26,0,2,2,2,0,0
668,location 2,2,2,2,0,3,4
669,location 19,0,3,4,0,0,0
670,location 9,1,1,2,2,1,4
671,location 7,0,3,3,2,0,2
672,location 4,0,3,1,2,1,0
673,location 26,0,0,2,0,1,3
674,location 21,0,3,2,4,0,1
675,location 18,0,4,4,2,2,3
676,location 13,1,4,3,1,0,1
677,location 11,0,0,1,2,4,0
678,location 29,2,1,4,3,4,0
679,location 24,0,1,4,2,2,1
680,location 4,1,3,3,0,1,2
681,location 25,1,3,1,2,2,4
682,location 21,1,3,3,3,4,3
683,location 29,1,1,1,1,2,3
684,location 25,1,2,3,4,0,3
685,location 4,0,4,4,2,2,0
686,location 10,0,2,4,3,1,3
687,location 5,0,2,0,3,0,4
688,location 9,2,1,2,1,3,4
689,location 24,0,2,3,0,4,1
690,location 3,1,0,0,2,4,0
691,location 17,0,3,2,3,2,4
692,location 3,0,0,3,1,0,2
693,location 16,0,4,1,4,3,0
694,location 4,0,3,2,3,0,0
695,location 18,0,2,4,1,4,4
696,location 17,0,4,0,0,0,2
697,location 7,0,3,2,0,3,1
698,location 24,0,2,2,3,2,4
699,location 23,0,0,4,3,1,2
700,location 5,0,3,3,2,0,0
701,location 12,1,2,1,1,1,2
702,location 17,0,0,4,3,4,0
703,location 23,0,4,1,2,2,4
704,location 13,0,4,3,2,2,4
705,location 23,0,4,2,3,0,3
706,location 25,0,4,1,0,2,3
707,location 3,0,1,0,1,0,3
708,location 9,0,3,0,1,0,4
709,location 17,0,3,4,0,1,1
710,location 17,0,1,3,3,2,4
711,location 20,1,2,4,1,0,2
712,location 16,1,2,4,3,1,4
713,location 25,0,4,4,3,3,4
714,location 22,0,0,0,2,1,0
715,location 13,0,2,0,0,1,0
716,location 27,0,0,4,3,0,0
717,location 19,2,3,0,4,4,4
718,location 17,0,0,3,0,4,1
719,location 4,0,3,4,1,4,2
720,location 12,0,1,0,2,1,2
721,location 29,1,1,1,1,0,1
722,location 9,0,4,4,1,2,1
723,location 19,0,2,4,0,1,2
724,location 12,0,4,3,1,1,3
725,location 9,0,3,2,3,0,0
726,location 7,0,4,2,1,3,0
727,location 28,0,0,3,2,1,2
728,location 14,0,3,3,2,3,1
729,location 20,0,1,3,4,3,3
730,location 19,0,2,2,2,4,2
731,location 26,0,3,3,1,0,0
732,location 15,0,3,0,2,3,4
733,location 16,0,0,4,0,0,1
734,location 21,1,2,4,2,4,4
735,location 5,0,1,1,3,0,2
736,location 3,0,3,1,0,1,0
737,location 12,0,3,4,4,3,3
738,location 25,0,0,0,3,0,4
739,location 20,1,4,2,1,2,3
740,location 27,0,1,2,1,0,0
741,location 21,2,2,0,1,3,4
742,location 4,0,3,2,3,4,3
743,location 21,0,3,3,3,4,3
744,location 23,1,1,4,3,3,4
745,location 16,1,4,4,0,1,0
746,location 25,1,3,0,0,1,3
747,location 7,1,1,2,1,4,2
748,location 13,0,0,1,2,4,4
749,location 21,1,4,1,1,3,1
750,location 10,0,2,2,4,1,1
751,location 26,1,3,1,0,4,0
752,location 7,0,1,0,3,1,2
753,location 14,1,0,0,0,4,3
754,location 26,0,2,2,3,0,1
755,location 5,0,1,1,4,2,0
756,location 3,0,1,0,4,0,2
757,location 23,1,2,0,0,4,2
758,location 29,0,0,3,3,2,0
759,location 11,0,0,3,4,2,0
760,location 11,0,4,0,1,4,3
761,location 18,0,3,2,1,4,0
762,location 15,1,2,4,3,1,3
763,location 12,0,2,4,0,4,3
764,location 9,2,2,0,4,3,4
765,location 10,0,0,0,0,4,2
766,location 26,0,3,0,1,3,2
767,location 12,1,4,2,4,4,2
768,location 17,0,1,3,0,1,4
769,location 29,0,1,0,2,3,3
770,location 6,0,2,0,3,0,3
771,location 7,1,3,1,3,3,0
772,location 14,0,0,2,2,1,4
773,location 13,2,3,0,1,3,0
